id,zh_TW,en
TITLE,海豹吃豹飽,Seally Belly
START,開始,Start
SETTINGS,設定,Settings
EXIT,退出,Exit
RESTART,重新開始,Restart
BACK_TO_TITLE,回到標題,Back to title
SCORE,分數：,Score: 
ENDING_0,就這點分數？\n連海豹都看不下去，牠們決定自己去捕魚了,"Is that all?\nEven the seals can't stand it, they decided to fish for themselves."
ENDING_1000,不錯喔！\n你成功餵飽了一些海豹，但牠們還想吃更多！,"Not bad!\nYou successfully fed some seals, but they want more!"
ENDING_2500,恭喜你！\n你是一位捕魚大師，海豹們飽到都不想動了！,"Congratulations!\nYou are a fishing master, the seals are so full they don't want to move!"
ENDING_5000,不可思議！你是海豹界的救世主！,Incredible! You are the savior of the seal world!
CHOOSE_CHAR,選擇你的海豹,Choose your seal
CHOOSE_MAP,選擇地圖,Choose map
STAMINA,體力,Stamina
OK,確定,OK
CANCLE,取消,Cancel
NAME_SEAL_A,小湯圓,Tangyuan
NAME_SEAL_B,小芝麻,Sesame
NAME_OCTOPUS,小火鍋,Hotpot
MAP_SOUGEN,青青草原,Green Grassland
MAP_UMI,汪洋大海,Vast Ocean
LANG_TC,中文,Chinese
LANG_EN,English,English
TIME_LEFT,剩餘時間：,Time Left: 
